title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Delhi 6,TV,2009,TV-14,SuperHD,"Abhishek Bachchan, Sonam Kapoor, Waheeda Rehman, Om Puri",Rakeysh Omprakash Mehra,,6.1,128,70113306,2018-10-01,"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots.",0,hindi
Delhi Belly,TV,2011,TV-MA,SuperHD,"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan",Abhinay Deo,,7.5,101,70152959,2017-12-08,"Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them.",0,hindi
Delhi Crime,TV,2019,TV-MA,SuperHD,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Adil Hussain",,,8.5,,81076756,2019-03-22,"As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",0,hindi
Deliha 2,TV,2018,TV-PG,SuperHD,"Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora",Gupse Özay,,4.6,102,81132443,2019-09-27,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",0,turkish
DeMarcus Family Rules ,TV,2020–,TV-14,,Allison DeMarcus,N/A,Reality-TV,,N/A,81129612,2020-08-19,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.,0,english
Demetri Martin: Live (At the Time),TV,2015,TV-MA,SuperHD,Demetri Martin,Jay Karas,,7.4,61,80044804,2015-08-14,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word ""nope"" to Washington in his original special.",0,english
Demetri Martin: The Overthinker,TV,2018,TV-MA,UltraHD,Demetri Martin,"Jay Karas, Demetri Martin",,7.2,56,80158802,2018-08-10,"With his signature one-liners and drawings, Demetri Martin muses on doughnut holes, dogs, sports bars, the alphabet's most aggressive letters and more.",1,english
Demon Slayer: Kimetsu no Yaiba ,TV,2019–,TV-MA,,"Natsuki Hanae, Zach Aguilar, Abby Trott, Aleks Le",N/A,"Animation, Action, Fantasy, Thriller",,25 min,81091393,2021-01-22,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost.",0,japanese
Demon's Path,TV,2018,TV-14,SuperHD,"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok",,,3.2,,81039096,2018-12-22,"To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",0,other
Dennis & Gnasher Unleashed!,TV,2017,TV-Y,SuperHD,"Freddie Fox, Kathryn Drysdale, Rasmus Hardiker, Joanna Ruiz",,,7.1,,81112772,2019-05-15,"Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown.",0,english
Deon Cole: Cole Hearted,TV,2019,TV-MA,UltraHD,Deon Cole,Ryan Polito,,6.9,69,80995737,2019-10-08,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp.""",1,english
